N M h2 pval
-1 -1 0.0001 0.06565492716886756
-1 -1 0.0001 0.5229844381337738
-1 -1 0.0001 6.499959960093449e-05
-1 -1 0.0001 0.004842169837258048
-1 -1 0.0001 0.1304464604787341
-1 -1 0.0001 1.8027261273756423e-05
-1 -1 0.0001 0.01888004110232755
-1 -1 0.0001 0.02251790627399286
-1 -1 0.0001 0.038549936803392915
-1 -1 0.0001 0.01081410286499751
-1 -1 0.0001 0.07006790580012745
-1 -1 0.0001 0.0011667823466989802
-1 -1 0.0001 0.013148126763369405
-1 -1 0.0001 0.0006176172945546732
-1 -1 0.0001 0.0009272046377382104
-1 -1 0.0001 0.002612199778474933
-1 -1 0.0001 0.10875255819953789
-1 -1 0.0001 0.04929743477242621
-1 -1 0.0001 0.012095921847634195
-1 -1 0.0001 0.011095125679000617
-1 -1 0.0001 0.059489498908392946
-1 -1 0.0001 0.0019361558171619997
-1 -1 0.0001 0.5889777549965372
-1 -1 0.0001 0.09484796897617209
-1 -1 0.0001 0.011524603706314585
-1 -1 0.0001 0.007557123342295191
-1 -1 0.0001 0.0011474540060633087
-1 -1 0.0001 0.010939318416092636
-1 -1 0.0001 0.016368594200253384
-1 -1 0.0001 0.1527732952464359
-1 -1 0.0001 0.034999540289487596
-1 -1 0.0001 0.1283884835855421
-1 -1 0.0001 0.14524888918907175
-1 -1 0.0001 0.012615063524653358
-1 -1 0.0001 0.009431621821169967
-1 -1 0.0001 0.07272634678391332
-1 -1 0.0001 0.06533484654000121
-1 -1 0.0001 0.16925337437244625
-1 -1 0.0001 0.179386813794552
-1 -1 0.0001 0.0050401505388243395
-1 -1 0.0001 0.02645749938381181
-1 -1 0.0001 0.034486476760092866
-1 -1 0.0001 0.772852261760635
-1 -1 0.0001 0.33898353549570404
-1 -1 0.0001 0.002535771723561009
-1 -1 0.0001 0.08254988856132117
-1 -1 0.0001 0.05865146921601361
-1 -1 0.0001 0.00094998191272333
-1 -1 0.0001 0.41188667175104365
-1 -1 0.0001 5.97922289113928e-05
-1 -1 0.0001 0.0033237294055488142
-1 -1 0.0001 1.4496108649009187e-06
-1 -1 0.0001 4.15953123574786e-05
-1 -1 0.0001 0.15943738722978973
-1 -1 0.0001 0.0016544771406195036
-1 -1 0.0001 0.013327761368875812
-1 -1 0.0001 0.06682021488691359
-1 -1 0.0001 0.006233408532692053
-1 -1 0.0001 0.0007022348994750738
-1 -1 0.0001 0.5520787593071097
-1 -1 0.0001 0.5372825905130237
-1 -1 0.0001 0.12490156078656289
-1 -1 0.0001 0.03183380747570996
-1 -1 0.0001 0.008364864448232256
-1 -1 0.0001 0.3010299598095951
-1 -1 0.0001 0.2506202762013867
-1 -1 0.0001 0.0030050430083188306
-1 -1 0.0001 0.012478180335923739
-1 -1 0.0001 2.829398388914939e-07
-1 -1 0.0001 0.19483853215507374
-1 -1 0.0001 0.004600106178283103
