N,M,h2,h2_est
5000,25,0.01,0.020649722269288833
5000,25,0.01,0.0060711052326528825
5000,25,0.01,0.014020362024107192
5000,25,0.01,0.003477571296657073
5000,25,0.01,0.01005205768402494
5000,25,0.01,0.01486162099220436
5000,25,0.01,0.005471994952108487
5000,25,0.01,0.006691189115071361
5000,25,0.01,0.014673390298746933
5000,25,0.01,0.01301165803825169
5000,25,0.01,0.00369434802158008
5000,25,0.01,0.01044248817979298
5000,25,0.01,0.0024919678536153324
5000,25,0.01,0.0024774066279620085
5000,25,0.01,0.01111192279550546
5000,25,0.01,0.0038757801382600455
5000,25,0.01,0.011036630577382007
5000,25,0.01,0.013784739510428069
5000,25,0.01,0.0067190785580146
5000,25,0.01,0.004055974812745144
5000,25,0.01,0.00923535920962708
5000,25,0.01,0.011835449618805687
5000,25,0.01,0.011969965017673445
5000,25,0.01,0.023006853216187548
5000,25,0.01,0.001095169897697837
5000,25,0.01,0.010120075731237277
5000,25,0.01,0.01641009262298829
5000,25,0.01,0.01459857751761275
5000,25,0.01,0.009185169438230858
5000,25,0.01,0.009242224286670504
5000,25,0.01,0.009887350609161282
5000,25,0.01,0.004176381293181016
5000,25,0.01,0.011415381968556449
5000,25,0.01,0.004480634100740055
5000,25,0.01,0.0060522772878253235
5000,25,0.01,0.008806890082403719
5000,25,0.01,0.010521575519827384
5000,25,0.01,0.01010818667787142
5000,25,0.01,0.009604477357594825
5000,25,0.01,0.01315530600185435
5000,25,0.01,0.011000533723753751
5000,25,0.01,0.007371392159774294
5000,25,0.01,0.012782510498172544
5000,25,0.01,0.0008918013078895436
5000,25,0.01,0.0109151865900049
5000,25,0.01,0.0060956686155014435
5000,25,0.01,0.005845691734649856
5000,25,0.01,0.005945691511060021
5000,25,0.01,0.008403337383477674
5000,25,0.01,0.008724347252342888
5000,25,0.01,0.009509820027988015
5000,25,0.01,0.017112465980725924
5000,25,0.01,0.008960973889368326
5000,25,0.01,0.015213375272559462
5000,25,0.01,0.005712824579667631
5000,25,0.01,0.008443010374852877
5000,25,0.01,0.015533131279378954
5000,25,0.01,0.010161482191491412
5000,25,0.01,0.01752623052137404
5000,25,0.01,4.303839045435448e-05
5000,25,0.01,0.007004401460639437
5000,25,0.01,0.009435344018562823
5000,25,0.01,0.00989163447367939
5000,25,0.01,0.009037335264164174
5000,25,0.01,0.011704596691496856
5000,25,0.01,0.015814689183962952
5000,25,0.01,0.005349238328410412
5000,25,0.01,0.004811132654837646
5000,25,0.01,0.014846987339556663
5000,25,0.01,0.013353115243746055
5000,25,0.01,0.013491328098919578
5000,25,0.01,0.009484538776001803
5000,25,0.01,0.01092328659478599
5000,25,0.01,0.005565291938547751
5000,25,0.01,0.004758158693052732
5000,25,0.01,0.010030313154904826
5000,25,0.01,0.01720839081502167
5000,25,0.01,0.00894600016179065
5000,25,0.01,0.009621138056325482
5000,25,0.01,0.013278390539169042
5000,25,0.01,0.010115068128004525
5000,25,0.01,0.015044818395099838
5000,25,0.01,0.012867970272780239
5000,25,0.01,0.0023901646465304544
5000,25,0.01,0.004782489928177517
5000,25,0.01,0.012041876839178942
5000,25,0.01,0.018672122415789177
5000,25,0.01,0.006847929166801785
5000,25,0.01,0.0041404056994394055
5000,25,0.01,0.009240507543599561
5000,25,0.01,0.0013963447904308506
5000,25,0.01,0.010827147005111842
5000,25,0.01,0.010008615187811092
5000,25,0.01,0.010228967397213096
5000,25,0.01,0.0030658037381028386
5000,25,0.01,0.0061588488567798924
5000,25,0.01,0.01366039435338936
5000,25,0.01,0.009296175917700574
5000,25,0.01,0.00922678496705369
5000,25,0.01,0.015710937357152677
10000,25,0.01,0.012825961445334582
10000,25,0.01,0.014390563327436596
10000,25,0.01,0.011141493083628062
10000,25,0.01,0.007264696828582472
10000,25,0.01,0.00741496449257456
10000,25,0.01,0.004075207822876336
10000,25,0.01,0.010233397743289211
10000,25,0.01,0.017987313914486956
10000,25,0.01,0.006556306334838511
10000,25,0.01,0.005668266769536356
10000,25,0.01,0.00893160445217877
10000,25,0.01,0.0122133453838571
10000,25,0.01,0.007675627447857764
10000,25,0.01,0.011223039748361315
10000,25,0.01,0.011570169079131156
10000,25,0.01,0.010561994261524191
10000,25,0.01,0.011956667299398049
10000,25,0.01,0.00811866698390697
10000,25,0.01,0.011631082337753429
10000,25,0.01,0.014965376376524488
10000,25,0.01,0.011348570872699096
10000,25,0.01,0.013609959688974863
10000,25,0.01,0.00839917204674513
10000,25,0.01,0.011724133108333187
10000,25,0.01,0.007949322399534758
10000,25,0.01,0.006933037964417003
10000,25,0.01,0.004809636640834837
10000,25,0.01,0.01997199706494572
10000,25,0.01,0.011276570274193277
10000,25,0.01,0.013357232997915452
10000,25,0.01,0.008973193065470075
10000,25,0.01,0.01062816688049365
10000,25,0.01,0.011951499906701434
10000,25,0.01,0.007719547754412147
10000,25,0.01,0.010807752476305107
10000,25,0.01,0.005476078005472785
10000,25,0.01,0.004607851877468361
10000,25,0.01,0.006107418221403821
10000,25,0.01,0.012703880703426616
10000,25,0.01,0.010692765962801097
10000,25,0.01,0.011479035262840631
10000,25,0.01,0.004670477713258811
10000,25,0.01,0.008705988929458012
10000,25,0.01,0.015472082253251597
10000,25,0.01,0.007402554839919824
10000,25,0.01,0.006884154485856629
10000,25,0.01,0.008589718426975661
10000,25,0.01,0.005242241889446061
10000,25,0.01,0.01002534951803757
10000,25,0.01,0.012058246015681716
10000,25,0.01,0.014883598110819735
10000,25,0.01,0.003063512288795734
10000,25,0.01,0.013006843034579607
10000,25,0.01,0.013235059816359506
10000,25,0.01,0.012457766749522049
10000,25,0.01,0.005518104389511991
10000,25,0.01,0.00577708334504944
10000,25,0.01,0.009481603419006251
10000,25,0.01,0.004946456926381694
10000,25,0.01,0.009964125368570012
10000,25,0.01,0.0062914649145910835
10000,25,0.01,0.011504594697054152
10000,25,0.01,0.008162571153159846
10000,25,0.01,0.011048916510662215
10000,25,0.01,0.0031851600391213774
10000,25,0.01,0.004903880522112407
10000,25,0.01,0.0095121751626061
10000,25,0.01,0.008944891983658639
10000,25,0.01,0.014419846062967335
10000,25,0.01,0.008001738692031283
10000,25,0.01,0.004302755965144297
10000,25,0.01,0.014411854044426044
10000,25,0.01,0.010287982936960876
10000,25,0.01,0.0050030721291748955
10000,25,0.01,0.003678967079486469
10000,25,0.01,0.006017411538524278
10000,25,0.01,0.012269268277512345
10000,25,0.01,0.011132545033088862
10000,25,0.01,0.00817117758993782
10000,25,0.01,0.009858024977024009
10000,25,0.01,0.008331255165344303
10000,25,0.01,0.00997522943573504
10000,25,0.01,0.007716675800996919
10000,25,0.01,0.01566461238451559
10000,25,0.01,0.010567874251860749
10000,25,0.01,0.008924968023524564
10000,25,0.01,0.012552698095881859
10000,25,0.01,0.00634955972000073
10000,25,0.01,0.011390722241321838
10000,25,0.01,0.010081330896726635
10000,25,0.01,0.005352897501634778
10000,25,0.01,0.0046710588322826235
10000,25,0.01,0.007815404129155634
10000,25,0.01,0.015142374741262288
10000,25,0.01,0.012832293715740697
10000,25,0.01,0.013868255628911566
10000,25,0.01,0.00823933235468716
10000,25,0.01,0.01299561486289816
10000,25,0.01,0.00842889479956468
10000,25,0.01,0.01026065441832692
50000,25,0.01,0.010074472165004473
50000,25,0.01,0.00961816083391474
50000,25,0.01,0.00893160445217877
50000,25,0.01,0.011236225186151983
50000,25,0.01,0.009267439516183517
50000,25,0.01,0.01043990513528854
50000,25,0.01,0.010925312524637522
50000,25,0.01,0.007619657669368627
50000,25,0.01,0.012541856983602504
50000,25,0.01,0.0133021590115294
50000,25,0.01,0.011976619354513145
50000,25,0.01,0.010827816395570398
50000,25,0.01,0.008872601818792509
50000,25,0.01,0.008798710104108624
50000,25,0.01,0.008030066408274738
50000,25,0.01,0.00920509883222103
50000,25,0.01,0.013439851623230945
50000,25,0.01,0.0093267328789336
50000,25,0.01,0.010871414686910972
50000,25,0.01,0.011878654025727225
50000,25,0.01,0.010371042858282139
50000,25,0.01,0.010717256284286167
50000,25,0.01,0.009402105882947716
50000,25,0.01,0.010603222263048221
50000,25,0.01,0.012704664633059139
50000,25,0.01,0.005720284665373788
50000,25,0.01,0.013377015660827761
50000,25,0.01,0.01064526769033695
50000,25,0.01,0.010787058390974082
50000,25,0.01,0.00947749543075911
50000,25,0.01,0.01284259023686938
50000,25,0.01,0.006734111584777482
50000,25,0.01,0.010218215886514547
50000,25,0.01,0.010628824101154349
50000,25,0.01,0.008424194809477717
50000,25,0.01,0.00812068042004697
50000,25,0.01,0.007634795768700396
50000,25,0.01,0.012115711411355248
50000,25,0.01,0.009312306840522738
50000,25,0.01,0.009580725910542895
50000,25,0.01,0.014151424191190011
50000,25,0.01,0.01307038165721609
50000,25,0.01,0.007534124465476326
50000,25,0.01,0.00794390251837424
50000,25,0.01,0.012177205757508946
50000,25,0.01,0.008317324862464339
50000,25,0.01,0.0063558720783845665
50000,25,0.01,0.012430883557510927
50000,25,0.01,0.009180620153703491
50000,25,0.01,0.01252097522260726
50000,25,0.01,0.010847917153780492
50000,25,0.01,0.007230071631891575
50000,25,0.01,0.009710880331599796
50000,25,0.01,0.009636037863152138
50000,25,0.01,0.010909789887194163
50000,25,0.01,0.008230654728409155
50000,25,0.01,0.009173232327008405
50000,25,0.01,0.010105060278008645
50000,25,0.01,0.00962054253884258
50000,25,0.01,0.01006450407228263
50000,25,0.01,0.008774758917338218
50000,25,0.01,0.011978838278787322
50000,25,0.01,0.009775402519995844
50000,25,0.01,0.01157803417631898
50000,25,0.01,0.010376175856971743
50000,25,0.01,0.012017364223238913
50000,25,0.01,0.009472216321716815
50000,25,0.01,0.009862906595425646
50000,25,0.01,0.009317497666242442
50000,25,0.01,0.008055995993760468
50000,25,0.01,0.011501751984482474
50000,25,0.01,0.007732484674661243
50000,25,0.01,0.007851349636363221
50000,25,0.01,0.010976081712906533
50000,25,0.01,0.004771792712083926
50000,25,0.01,0.010969299031596227
50000,25,0.01,0.01037938525764269
50000,25,0.01,0.011961098249809485
50000,25,0.01,0.007929631305648456
50000,25,0.01,0.01220505404125285
50000,25,0.01,0.010829155299286417
50000,25,0.01,0.00910305920823683
50000,25,0.01,0.008538244078781445
50000,25,0.01,0.01131496082626276
50000,25,0.01,0.008693053172743841
50000,25,0.01,0.01328002839817506
50000,25,0.01,0.012628066051291353
50000,25,0.01,0.012107485537653506
50000,25,0.01,0.009754854264851594
50000,25,0.01,0.009529267172687234
50000,25,0.01,0.008731917710033918
50000,25,0.01,0.010283529204839086
50000,25,0.01,0.010226436623195424
50000,25,0.01,0.007626276919411904
50000,25,0.01,0.008233716384628212
50000,25,0.01,0.00898097750005643
50000,25,0.01,0.01194707246897119
50000,25,0.01,0.00988857438299646
50000,25,0.01,0.011383686281642765
50000,25,0.01,0.010914511857799465
