N,M,h2,h2_est,h2_diff
-1,-1,0.001,0.00043894934196335846,0.0005610506580366416
-1,-1,0.001,0.0007102468309101267,0.0002897531690898733
-1,-1,0.001,0.0011673949198813792,-0.00016739491988137915
-1,-1,0.001,0.0007432385400706693,0.0002567614599293307
-1,-1,0.001,0.001202153944897877,-0.000202153944897877
-1,-1,0.001,0.001696694833666344,-0.000696694833666344
-1,-1,0.001,0.0008278296408770086,0.00017217035912299146
-1,-1,0.001,0.0011894637879601233,-0.00018946378796012332
-1,-1,0.001,0.0008226247103835819,0.0001773752896164181
-1,-1,0.001,0.0009322866543680961,6.771334563190391e-05
-1,-1,0.001,0.0014255799052214767,-0.0004255799052214767
-1,-1,0.001,0.0008377627485400138,0.00016223725145998627
-1,-1,0.001,0.0010725024979859885,-7.25024979859885e-05
-1,-1,0.001,0.0005779182788630063,0.0004220817211369937
-1,-1,0.001,0.0009477822921422134,5.221770785778662e-05
-1,-1,0.001,0.0011485996665859825,-0.0001485996665859825
-1,-1,0.001,0.0007969371385560379,0.00020306286144396212
-1,-1,0.001,0.0009176742337178022,8.23257662821978e-05
-1,-1,0.001,0.0008308334712447977,0.00016916652875520227
-1,-1,0.001,0.001253107399074036,-0.000253107399074036
-1,-1,0.001,0.0009146422426519692,8.535775734803085e-05
-1,-1,0.001,0.001121532010988746,-0.00012153201098874587
-1,-1,0.001,0.000507693406890224,0.000492306593109776
-1,-1,0.001,0.0008267963553220884,0.00017320364467791167
-1,-1,0.001,0.0009575376692774974,4.246233072250261e-05
-1,-1,0.001,0.0007812178395404346,0.0002187821604595654
-1,-1,0.001,0.0009758259646170308,2.4174035382969195e-05
-1,-1,0.001,0.0011752188305718457,-0.00017521883057184566
-1,-1,0.001,0.0007902465607591695,0.00020975343924083047
-1,-1,0.001,0.0010407732679338665,-4.0773267933866524e-05
-1,-1,0.001,0.001176172960347671,-0.000176172960347671
-1,-1,0.001,0.0009176742337178022,8.23257662821978e-05
-1,-1,0.001,0.001029463492253408,-2.946349225340793e-05
-1,-1,0.001,0.0013807455119671838,-0.00038074551196718375
-1,-1,0.001,0.0014962252453230656,-0.0004962252453230656
-1,-1,0.001,0.0007496718706143192,0.00025032812938568085
-1,-1,0.001,0.0006521230181161578,0.00034787698188384225
-1,-1,0.001,0.00046587603218387205,0.000534123967816128
-1,-1,0.001,0.0008179631282694692,0.00018203687173053086
-1,-1,0.001,0.001270751832061195,-0.00027075183206119497
-1,-1,0.001,0.0015081308099135966,-0.0005081308099135966
-1,-1,0.001,0.0005654559755606357,0.0004345440244393643
-1,-1,0.001,0.0009425298441105277,5.747015588947234e-05
-1,-1,0.001,0.0006690382917378434,0.00033096170826215666
-1,-1,0.001,0.0006627995049934182,0.0003372004950065818
-1,-1,0.001,0.0008511037970122718,0.00014889620298772822
-1,-1,0.001,0.0008084665170254453,0.0001915334829745547
-1,-1,0.001,0.0010880820992885197,-8.808209928851964e-05
-1,-1,0.001,0.0003713014207491377,0.0006286985792508624
