N,M,h2,h2_est
-1,5,0.01,0.005867160809751583
-1,5,0.01,0.015616500142912652
-1,5,0.01,0.004590683967346988
-1,5,0.01,0.015767093256318598
-1,5,0.01,0.009577761072570813
-1,5,0.01,0.012965186590582484
-1,5,0.01,0.015652089187118037
-1,5,0.01,0.011763302657481782
-1,5,0.01,0.002300530154987772
-1,5,0.01,0.002763989101856185
-1,5,0.01,0.004852605906454162
-1,5,0.01,0.017999461781800136
-1,5,0.01,0.003928006469974291
-1,5,0.01,0.011866922201654355
-1,5,0.01,0.026424403961952118
-1,5,0.01,0.009764518699071304
-1,5,0.01,0.008099564018021133
-1,5,0.01,0.008193494886648636
-1,5,0.01,0.009625903510544622
-1,5,0.01,0.0157816484491243
-1,5,0.01,0.008855579881411517
-1,5,0.01,0.013095398122464746
-1,5,0.01,0.008606767047356117
-1,5,0.01,0.005644714232167315
-1,5,0.01,0.005347243464477516
-1,5,0.01,0.0069227181424733495
-1,5,0.01,0.015087480954347011
-1,5,0.01,0.006132889480928841
-1,5,0.01,0.012900560800049499
-1,5,0.01,0.007771906598249421
-1,5,0.01,0.01957827073127007
-1,5,0.01,0.014066227125408821
-1,5,0.01,0.004333389253588195
-1,5,0.01,0.013332545249129111
-1,5,0.01,0.012959589056276
-1,5,0.01,0.0065771002342221606
-1,5,0.01,0.023251149168449354
-1,5,0.01,0.0013763574403751345
-1,5,0.01,0.00931346010973083
-1,5,0.01,0.009001025359301494
-1,5,0.01,0.01031538348453277
-1,5,0.01,0.013532982995124742
-1,5,0.01,0.005485275956909985
-1,5,0.01,0.00640261868126794
-1,5,0.01,0.005159462772527214
-1,5,0.01,0.011663458724831155
-1,5,0.01,0.01315124966778701
-1,5,0.01,0.012597709920843041
-1,5,0.01,0.01341997729902122
-1,5,0.01,0.006998752510083354
-1,5,0.01,0.009017207268238485
-1,5,0.01,0.011433028359932625
-1,5,0.01,0.009338867857447067
-1,5,0.01,0.014226607839917561
-1,5,0.01,0.005021462203417233
-1,5,0.01,0.004118302126870262
-1,5,0.01,0.01097743874677541
-1,5,0.01,0.009328465490505812
-1,5,0.01,0.0032683786866725714
-1,5,0.01,0.009541663129781127
-1,5,0.01,0.01053459707530545
-1,5,0.01,0.007533657144770568
-1,5,0.01,0.014859791009029432
-1,5,0.01,0.016098297106739847
-1,5,0.01,0.02891299274668173
-1,5,0.01,0.008772584743720967
-1,5,0.01,0.008403858194560836
-1,5,0.01,0.010076342270009201
-1,5,0.01,0.004951689291917773
-1,5,0.01,0.003728551272202224
-1,5,0.01,0.028468858990210573
-1,5,0.01,0.006312992273665612
-1,5,0.01,0.006105142348820185
-1,5,0.01,0.007725773958937343
-1,5,0.01,0.0068089338987363775
-1,5,0.01,0.006314168596000399
-1,5,0.01,0.01442428796011858
-1,5,0.01,0.01997566735460497
-1,5,0.01,0.012208822143959231
-1,5,0.01,0.006697007241031741
-1,5,0.01,0.00984826891537177
-1,5,0.01,0.015797188560657836
-1,5,0.01,0.003004904690465308
-1,5,0.01,0.01501243735196243
-1,5,0.01,0.0059235687479211215
-1,5,0.01,0.01646465683131439
-1,5,0.01,0.009717493958774722
-1,5,0.01,0.019124036750888813
-1,5,0.01,0.01648187134391017
-1,5,0.01,0.00842993959482872
-1,5,0.01,0.008168138996856278
-1,5,0.01,0.01085194173191257
-1,5,0.01,0.008386688315671116
-1,5,0.01,0.015346913557321745
-1,5,0.01,0.010114442350069367
-1,5,0.01,0.005357225188939425
-1,5,0.01,0.019189801447963555
-1,5,0.01,0.012575960214548114
-1,5,0.01,0.009162445328140374
-1,5,0.01,0.006175704259812717
-1,10,0.01,0.008261322163804926
-1,10,0.01,0.009759685297487665
-1,10,0.01,0.01703170933972824
-1,10,0.01,0.011109862650363962
-1,10,0.01,0.010201794028789471
-1,10,0.01,0.011574458477332133
-1,10,0.01,0.01092328659478599
-1,10,0.01,0.006894417219361445
-1,10,0.01,0.018436532812327853
-1,10,0.01,0.012871940372615623
-1,10,0.01,0.011698091703870235
-1,10,0.01,0.006887146215009128
-1,10,0.01,0.009677878992748884
-1,10,0.01,0.011064634885445039
-1,10,0.01,0.006939495609256842
-1,10,0.01,0.008784549309593099
-1,10,0.01,0.00797598233863848
-1,10,0.01,0.008647392074964646
-1,10,0.01,0.012466227602565261
-1,10,0.01,0.010525480313511875
-1,10,0.01,0.008137814634837209
