N,M,h2,h2_est
-1,5,0.01,0.010539810160679201
-1,5,0.01,0.017790762439732696
-1,5,0.01,0.008623849210997988
-1,5,0.01,0.009741581130701695
-1,5,0.01,0.008846259015299953
-1,5,0.01,0.006307505648005055
-1,5,0.01,0.015939689381692494
-1,5,0.01,0.01189113164438693
-1,5,0.01,0.004055974812745144
-1,5,0.01,0.010238463321316112
-1,5,0.01,0.015224615805341558
-1,5,0.01,0.009200539768604738
-1,5,0.01,0.004518990134656892
-1,5,0.01,0.009370143950625803
-1,5,0.01,0.01610720904962812
-1,5,0.01,0.01862979651214822
-1,5,0.01,0.011798957281360635
-1,5,0.01,0.011897742683953653
-1,5,0.01,0.011431615656931654
-1,5,0.01,0.00412574249398548
-1,5,0.01,0.009334243165419445
-1,5,0.01,0.022925512875889998
-1,5,0.01,0.005522221657439934
-1,5,0.01,0.011916125741486833
-1,5,0.01,0.005900061316810198
-1,5,0.01,0.010578989737536581
-1,5,0.01,0.022746995686072722
-1,5,0.01,0.006639875817443518
-1,5,0.01,0.009108698559216656
-1,5,0.01,0.006787833397972289
-1,5,0.01,0.01087544788678232
-1,5,0.01,0.010788392309763905
-1,5,0.01,0.011128417560504545
-1,5,0.01,0.005852596965436814
-1,5,0.01,0.009804484800809057
-1,5,0.01,0.006828827761824431
-1,5,0.01,0.014013451807626998
-1,5,0.01,0.008315778477474084
-1,5,0.01,0.011756765431348577
-1,5,0.01,0.009946261214870378
-1,5,0.01,0.003178618276643574
-1,5,0.01,0.006977067904493514
-1,5,0.01,0.008426805594190807
-1,5,0.01,0.01941577808470046
-1,5,0.01,0.01650316076427357
-1,5,0.01,0.015279060419264268
-1,5,0.01,0.013549680448108746
-1,5,0.01,0.007493110170752478
-1,5,0.01,0.009544616901162187
-1,5,0.01,0.013868255628911566
-1,5,0.01,0.010919235849603604
-1,5,0.01,0.012863207748222704
-1,5,0.01,0.006362980934875297
-1,5,0.01,0.014316289611299191
-1,5,0.01,0.008632402891795706
-1,5,0.01,0.009823920562734336
-1,5,0.01,0.005180679025629591
-1,5,0.01,0.006203384767198859
-1,5,0.01,0.009724713911501126
-1,5,0.01,0.004818919395666935
-1,5,0.01,0.007344915147429695
-1,5,0.01,0.0076985113662004665
-1,5,0.01,0.013597379743090759
-1,5,0.01,0.0041623683362584304
-1,5,0.01,0.01556853333589706
-1,5,0.01,0.009835478589857533
-1,5,0.01,0.009288695972754895
-1,5,0.01,0.0032068631989260504
-1,5,0.01,0.010862009639103125
-1,5,0.01,0.004640935863129365
-1,5,0.01,0.006311032220322387
-1,5,0.01,0.011672107458886955
-1,5,0.01,0.006749597006938408
-1,5,0.01,0.010775726665771014
-1,5,0.01,0.009946876692040156
-1,5,0.01,0.005717086300514584
-1,5,0.01,0.010331986278911083
-1,5,0.01,0.006217271221044718
-1,5,0.01,0.005486639922454294
-1,5,0.01,0.011243865859354402
-1,5,0.01,0.009490412190373602
-1,5,0.01,0.015134920007045735
